
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
  7%|█████████▊                                                                                                                                          | 122/1850 [00:16<06:02,  4.77it/s]
{'loss': 0.919, 'grad_norm': 3.7624175548553467, 'learning_rate': 0.00029739060560387897, 'epoch': 0.3}
{'loss': 0.6255, 'grad_norm': 2.9614527225494385, 'learning_rate': 0.0002973430876093033, 'epoch': 0.3}
{'loss': 1.0031, 'grad_norm': 3.707139492034912, 'learning_rate': 0.0002972951447154912, 'epoch': 0.3}
{'loss': 0.7042, 'grad_norm': 4.223752975463867, 'learning_rate': 0.0002972467770606976, 'epoch': 0.31}
{'loss': 0.6163, 'grad_norm': 3.2324485778808594, 'learning_rate': 0.0002971979847844024, 'epoch': 0.31}
{'loss': 0.9904, 'grad_norm': 3.691718816757202, 'learning_rate': 0.0002971487680273096, 'epoch': 0.31}
{'loss': 0.6023, 'grad_norm': 3.0664749145507812, 'learning_rate': 0.0002970991269313477, 'epoch': 0.31}
{'loss': 0.5437, 'grad_norm': 3.1703572273254395, 'learning_rate': 0.0002970490616396688, 'epoch': 0.32}
{'loss': 0.656, 'grad_norm': 3.6090667247772217, 'learning_rate': 0.00029699857229664804, 'epoch': 0.32}
{'loss': 0.6628, 'grad_norm': 3.4465231895446777, 'learning_rate': 0.00029694765904788375, 'epoch': 0.32}
{'loss': 0.4456, 'grad_norm': 2.39298415184021, 'learning_rate': 0.0002968963220401965, 'epoch': 0.32}
{'loss': 0.5699, 'grad_norm': 2.916539192199707, 'learning_rate': 0.0002968445614216288, 'epoch': 0.33}

  7%|██████████▉                                                                                                                                         | 137/1850 [00:18<04:11,  6.80it/s]
{'loss': 0.8741, 'grad_norm': 3.4675848484039307, 'learning_rate': 0.00029673976995013026, 'epoch': 0.33}
{'loss': 0.9659, 'grad_norm': 4.287424087524414, 'learning_rate': 0.0002966867393993908, 'epoch': 0.34}
{'loss': 0.5957, 'grad_norm': 3.4034605026245117, 'learning_rate': 0.00029663328584215293, 'epoch': 0.34}
{'loss': 0.6403, 'grad_norm': 2.93428897857666, 'learning_rate': 0.00029657940943256277, 'epoch': 0.34}
{'loss': 0.7229, 'grad_norm': 3.884047508239746, 'learning_rate': 0.000296525110325986, 'epoch': 0.34}
{'loss': 0.703, 'grad_norm': 3.334761381149292, 'learning_rate': 0.0002964703886790071, 'epoch': 0.35}
{'loss': 0.6573, 'grad_norm': 2.8552539348602295, 'learning_rate': 0.0002964152446494292, 'epoch': 0.35}
{'loss': 0.6229, 'grad_norm': 3.0247857570648193, 'learning_rate': 0.00029635967839627324, 'epoch': 0.35}
{'loss': 0.7088, 'grad_norm': 3.353466749191284, 'learning_rate': 0.0002963036900797779, 'epoch': 0.35}
{'loss': 0.8136, 'grad_norm': 3.9802448749542236, 'learning_rate': 0.0002962472798613991, 'epoch': 0.36}
{'loss': 0.745, 'grad_norm': 3.8196215629577637, 'learning_rate': 0.0002961904479038091, 'epoch': 0.36}
{'loss': 0.6777, 'grad_norm': 3.070038318634033, 'learning_rate': 0.0002961331943708966, 'epoch': 0.36}
{'loss': 0.7241, 'grad_norm': 3.2424495220184326, 'learning_rate': 0.0002960755194277659, 'epoch': 0.36}
{'loss': 0.684, 'grad_norm': 3.4185023307800293, 'learning_rate': 0.0002960174232407366, 'epoch': 0.37}

  8%|████████████▏                                                                                                                                       | 152/1850 [00:20<04:10,  6.77it/s]
{'loss': 0.8333, 'grad_norm': 3.5015785694122314, 'learning_rate': 0.0002958999678063338, 'epoch': 0.37}
{'loss': 0.4889, 'grad_norm': 2.673746109008789, 'learning_rate': 0.0002958406088976713, 'epoch': 0.38}
{'loss': 0.4677, 'grad_norm': 2.5837502479553223, 'learning_rate': 0.0002957808294225312, 'epoch': 0.38}
{'loss': 0.6628, 'grad_norm': 2.971151351928711, 'learning_rate': 0.000295720629553302, 'epoch': 0.38}
{'loss': 0.4474, 'grad_norm': 2.370746374130249, 'learning_rate': 0.00029566000946358454, 'epoch': 0.38}
{'loss': 0.253, 'grad_norm': 1.7466930150985718, 'learning_rate': 0.0002955989693281914, 'epoch': 0.39}
{'loss': 0.6339, 'grad_norm': 2.9951863288879395, 'learning_rate': 0.0002955375093231465, 'epoch': 0.39}
